"index","BosniaandHerzegovi","Cada","Chi","Croatia","France","Germany","Iran","Italy","Korea,South","Russia","Serbia","Slovenia","Spain","Switzerland","US","UnitedKingdom"
1,2,1,548,1,2,1,2,2,1,2,1,2,1,1,1,2
2,2,1,643,3,3,4,5,2,1,2,1,7,1,1,1,2
3,3,2,920,3,3,4,18,2,2,2,1,7,1,8,2,2
4,3,2,1406,5,3,4,28,2,2,2,1,16,1,8,2,2
5,3,2,2075,6,4,5,43,2,3,2,5,16,1,18,5,2
6,5,4,2877,7,5,8,61,2,4,2,12,31,1,27,5,2
7,7,4,5509,8,5,10,95,2,4,2,19,57,1,42,5,2
8,11,4,6087,9,5,12,139,3,4,2,35,89,1,56,5,3
9,13,4,8141,10,6,12,245,3,4,2,46,141,2,90,5,3
10,18,4,9802,10,6,12,388,3,11,2,48,181,2,114,7,3
11,24,5,11891,11,6,12,593,3,12,2,55,219,2,214,8,8
12,25,5,16630,12,6,13,978,3,15,2,65,253,2,268,8,8
13,26,7,19716,12,6,13,1501,3,15,2,83,275,2,337,11,9
14,38,7,23707,13,6,14,2336,3,16,2,103,275,2,374,11,9
15,63,7,27440,15,6,14,2922,3,19,2,135,286,2,491,11,9
16,89,7,30587,19,11,16,3513,3,23,2,171,341,2,652,11,9
17,93,7,34110,27,11,16,4747,3,24,2,222,383,2,652,11,9
18,126,7,36814,32,11,16,5823,3,24,2,222,414,2,1139,11,9
19,126,7,39829,39,11,16,6566,3,25,2,,414,2,1359,11,9
20,,7,42354,48,11,16,7161,3,27,2,,,2,2200,11,9
21,,7,44386,56,11,16,8042,3,28,2,,,2,2200,12,9
22,,7,44759,69,11,16,9000,20,28,2,,,2,2700,12,9
23,,8,59895,87,12,16,10075,62,28,2,,,2,3028,13,9
24,,8,66358,105,12,16,11364,155,28,2,,,2,4075,13,9
25,,8,68413,128,12,16,12729,229,28,2,,,6,5294,13,13
26,,8,70513,206,12,16,13938,322,29,2,,,13,6575,13,13
27,,9,72434,254,12,16,14991,453,30,2,,,15,7245,13,13
28,,9,74211,315,12,16,16169,655,31,2,,,32,7245,13,15
29,,9,74619,382,12,16,17361,888,31,2,,,45,,13,20
30,,10,75077,,12,17,18407,1128,104,2,,,84,,13,23
31,,11,75550,,12,27,19644,1694,204,2,,,120,,15,36
32,,11,77001,,12,46,20610,2036,433,3,,,165,,15,40
33,,13,77022,,14,48,21638,2502,602,3,,,222,,15,51
34,,14,77241,,18,79,21638,3089,833,3,,,259,,51,86
35,,20,77754,,38,130,,3858,977,4,,,400,,51,116
36,,24,78166,,57,159,,4636,1261,13,,,500,,57,164
37,,27,78600,,100,196,,5883,1766,13,,,673,,58,207
38,,30,78928,,130,262,,7375,2337,17,,,1073,,60,274
39,,33,79356,,191,482,,9172,3150,17,,,1695,,68,322
40,,37,79932,,204,670,,10149,3736,20,,,2277,,74,384
41,,49,80136,,288,799,,12462,4335,20,,,2277,,98,459
42,,54,80261,,380,1040,,12462,5186,28,,,5232,,118,459
43,,64,80386,,656,1176,,17660,5621,45,,,6391,,149,802
44,,77,80537,,957,1457,,21157,6088,59,,,7798,,217,1144
45,,79,80690,,1134,1908,,24747,6593,63,,,9942,,262,1145
46,,108,80770,,1217,2078,,27980,7041,90,,,11748,,402,1551
47,,117,80823,,1792,3675,,31506,7314,114,,,13910,,518,1960
48,,193,80860,,2290,4585,,35713,7478,147,,,17963,,583,2642
49,,198,80887,,2290,5795,,41035,7513,199,,,20410,,959,2716
50,,252,80921,,3678,7272,,47021,7755,253,,,25374,,1281,4014
51,,415,80932,,4487,9257,,53578,7869,306,,,28768,,1663,5067
52,,478,80945,,4523,12327,,59138,7979,367,,,28768,,2179,5741
53,,657,80977,,6668,15320,,59138,8086,367,,,,,2727,5741
54,,800,81003,,7699,19848,,,8162,,,,,,3499,
55,,943,81033,,9105,22213,,,8236,,,,,,4632,
56,,1278,81058,,10947,24873,,,8320,,,,,,6421,
57,,1465,81102,,12726,24873,,,8413,,,,,,7783,
58,,1470,81156,,14431,,,,8565,,,,,,13677,
59,,,81250,,16176,,,,8652,,,,,,19100,
60,,,81305,,16044,,,,8799,,,,,,25489,
61,,,81397,,,,,,8897,,,,,,33272,
62,,,81439,,,,,,8897,,,,,,,
