Month,Approves,Does not approve,Uncertain
10/2019,40,52,9
9/2019,38,52,10
8/2019,37,52,10
7/2019,42,52,6
6/2019,47,46,7
5/2019,45,47,8
4/2019,49,44,7
3/2019,48,43,9
2/2019,48,43,9
1/2019,51,42,7
12/2018,51,42,7
11/2018,51,41,8
10/2018,58,36,6
9/2018,56,36,8
8/2018,55,38,7
7/2018,57,38,5
6/2018,46,45,9
5/2018,48,40,12
4/2018,49,40,11
3/2018,54,37,9
2/2018,57,37,7
1/2018,50,41,9
12/2017,52,40,8
11/2017,51,41,8
10/2017,40,50,10
9/2017,45,47,8
8/2017,45,46,9
7/2017,53,39,8
6/2017,50,40,10
5/2017,45,44,11
4/2017,46,46,8
3/2017,49,43,8
2/2017,51,41,8
1/2017,47,45,8
12/2016,54,34,12
11/2016,51,41,8
10/2016,59,31,10
9/2016,56,33,11
8/2016,47,46,7
7/2016,57,36,7
6/2016,53,38,9
5/2016,45,47,8
4/2016,56,39,5
3/2016,52,37,11
2/2016,57,36,7
1/2016,64,27,9
12/2015,60,29,11
11/2015,56,33,11
10/2015,52,40,8
9/2015,56,34,10
8/2015,60,28,12
7/2015,57,32,11
6/2015,51,35,14
5/2015,48,38,14
4/2015,55,30,15
3/2015,54,27,19
